Year;Total;Bunker_fuels ;Per_Capita
1968;165522;5097;2,99
1969;171491;5377;3,08
1970;178092;6211;3,19
1971;180219;6484;3,22
1972;176844;6326;3,15
1973;179993;6678;3,2
1974;168423;5976;2,99
1975;164615;4968;2,92
1976;163325;5181;2,89
1977;164916;4592;2,92
1978;165008;4744;2,92
1979;175864;4768;3,11
1980;157974;4512;2,8
1981;152937;3980;2,71
1982;149583;4447;2,65
1983;148825;4060;2,63
1984;144351;4378;2,55
1985;152674;4488;2,69
1986;155107;4668;2,73
1987;155950;4578;2,74
1988;155567;4856;2,72
1989;158637;5520;2,77
1990;151602;7466;2,64
1991;154576;7092;2,68
1992;151699;7538;2,63
1993;148817;7834;2,57
1994;149097;7829;2,57
1995;146746;8264;2,52
1996;150378;8748;2,58
1997;143808;9291;2,46
1998;145052;10060;2,47
1999;144788;9981;2,46
2000;147746;10466;2,5
2001;148858;10428;2,51
2002;144162;10091;2,42
2003;147261;10162;2,46
2004;147052;11107;2,45
2005;147963;11771;2,45
2006;147657;12137;2,43
2007;144103;12134;2,35
2008;141993;12787;2,31
2009;128639;12096;2,06
2010;134499;11334;2,14
2011;122124;11977;1,93
2012;127781;11295;2,01
2013;124966;11111;1,95
2014;114486;10921;1,78
