Year;Bunker_fuels ;Per_Capita;Gas_flaring
1968;14224;5.01;7592
1969;12374;5.22;7728
1970;13270;5.56;7164
1971;12774;5.54;4165
1972;12584;5.76;3632
1973;14614;5.96;3599
1974;14475;5.69;2429
1975;14355;5.41;1941
1976;16780;5.61;2003
1977;20623;5.71;1982
1978;23859;5.83;2217
1979;26979;5.79;2420
1980;30191;5.52;1826
1981;27835;5.25;1428
1982;23252;4.94;1362
1983;21424;4.93;1389
1984;21704;5.03;1580
1985;21032;5.01;1392
1986;20779;4.96;1431
1987;21517;5.12;1810
1988;23133;5.29;2086
1989;25070;5.31;2073
1990;35600;5.12;2211
1991;37321;5.06;2498
1992;39201;5.11;2462
1993;36039;5.18;3333
1994;35397;5.19;3356
1995;37502;5.18;4171
1996;36585;5.24;4000
1997;34392;5.29;3768
1998;34316;5.26;1514
1999;38142;5.3;1621
2000;40072;5.42;1341
2001;30972;5.27;1425
2002;37633;5.26;1458
2003;33335;5.24;1442
2004;38293;5.26;1417
2005;41091;5.25;1751
2006;42954;5.12;1903
2007;45630;5.13;2109
2008;41815;4.93;2453
2009;38301;4.61;2431
2010;40388;4.69;2439
2011;40600;4.56;3079
2012;29859;4.38;3129
2013;31592;4.38;3828
2014;30722;4.43;4244
